;online_transaction_flg;code;category;transaction_amt;customer_id;day_time;day_of_week;time_of_day
115;online;Бакалейные магазины, супермаркеты;Супермаркеты;2800;21038;Пятница День;5;День
116;offline;Фастфуд;Фаст Фуд;400;21038;Суббота Вечер;6;Вечер
117;offline;Фастфуд;Фаст Фуд;300;21038;Суббота День;6;День
118;offline;Фастфуд;Фаст Фуд;100;21038;Воскресенье Вечер;7;Вечер
119;offline;Фастфуд;Фаст Фуд;900;21038;Воскресенье День;7;День
120;online;Фастфуд;Фаст Фуд;1500;21038;Воскресенье Вечер;7;Вечер
121;offline;Парикмахерские и салоны красоты;Красота;10000;29299;Понедельник Вечер;1;Вечер
122;offline;Бакалейные магазины, супермаркеты;Супермаркеты;500;29299;Понедельник Ночь;1;Ночь
123;online;Фастфуд;Фаст Фуд;1500;29299;Вторник День;2;День
124;offline;Почтовые услуги – только государственные;Госсборы;100;29299;Среда Вечер;3;Вечер
125;offline;Пассажирские перевозки — пригородные и местные пригородные рейсы, включая паромы;Транспорт;40;29299;Среда День;3;День
126;offline;Бакалейные магазины, супермаркеты;Супермаркеты;900;29299;Среда День;3;День
127;offline;Бакалейные магазины, супермаркеты;Супермаркеты;200;29299;Четверг Вечер;4;Вечер
128;offline;Пассажирские перевозки — пригородные и местные пригородные рейсы, включая паромы;Транспорт;40;29299;Четверг Вечер;4;Вечер
129;online;Лимузины и такси;Транспорт;500;29299;Четверг Утро;4;Утро
130;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1100;29299;Четверг Вечер;4;Вечер
131;offline;Бакалейные магазины, супермаркеты;Супермаркеты;600;29299;Четверг Вечер;4;Вечер
132;offline;Фастфуд;Фаст Фуд;400;29299;Четверг Утро;4;Утро
133;online;Бакалейные магазины, супермаркеты;Супермаркеты;3000;29299;Четверг Вечер;4;Вечер
134;online;Бакалейные магазины, супермаркеты;Супермаркеты;2000;29299;Пятница Вечер;5;Вечер
135;online;Фастфуд;Фаст Фуд;900;29299;Пятница Вечер;5;Вечер
136;online;Лимузины и такси;Транспорт;300;29299;Суббота Утро;6;Утро
137;online;Лимузины и такси;Транспорт;200;29299;Суббота Вечер;6;Вечер
138;offline;Фастфуд;Фаст Фуд;300;29299;Суббота Вечер;6;Вечер
139;offline;Фастфуд;Фаст Фуд;100;29717;Четверг День;4;День
140;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;29717;Суббота Вечер;6;Вечер
141;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;200;34609;Вторник Вечер;2;Вечер
142;online;Агентства по аренде автомобилей;Аренда авто;100;34609;Среда Ночь;3;Ночь
143;online;Бакалейные магазины, супермаркеты;Супермаркеты;1200;34609;Воскресенье Утро;7;Утро
144;offline;Аптеки;Аптеки;100;36634;Понедельник День;1;День
145;offline;Заправочные станции (с вспомогательными услугами или без);Топливо;4700;36634;Понедельник День;1;День
146;offline;Универмаги;Разные товары;600;36634;Понедельник День;1;День
147;offline;Бакалейные магазины, супермаркеты;Супермаркеты;500;36634;Понедельник Утро;1;Утро
148;offline;Заправочные станции (с вспомогательными услугами или без);Топливо;1000;36634;Вторник День;2;День
149;offline;Заправочные станции (с вспомогательными услугами или без);Топливо;1000;36634;Вторник День;2;День
150;offline;Заправочные станции (с вспомогательными услугами или без);Топливо;100;36634;Вторник День;2;День
151;online;Лимузины и такси;Транспорт;700;36634;Вторник День;2;День
152;offline;Фастфуд;Фаст Фуд;300;36634;Вторник Утро;2;Утро
153;offline;Бакалейные магазины, супермаркеты;Супермаркеты;500;36634;Вторник Вечер;2;Вечер
154;offline;Магазины с продажей спиртных напитков навынос;Супермаркеты;800;36634;Среда День;3;День
155;offline;Аптеки;Аптеки;1000;36634;Среда День;3;День
156;offline;Фастфуд;Фаст Фуд;100;36634;Среда День;3;День
157;offline;Аптеки;Аптеки;900;36634;Четверг День;4;День
158;offline;Аптеки;Аптеки;1900;36634;Четверг Вечер;4;Вечер
159;offline;Места общественного питания, рестораны;Рестораны;700;36634;Четверг Вечер;4;Вечер
160;offline;Фастфуд;Фаст Фуд;300;36634;Четверг День;4;День
161;offline;Фастфуд;Фаст Фуд;300;36634;Пятница Утро;5;Утро
162;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;36634;Пятница Вечер;5;Вечер
163;online;Лимузины и такси;Транспорт;400;36634;Суббота Вечер;6;Вечер
164;online;Лимузины и такси;Транспорт;700;36634;Суббота День;6;День
165;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1300;36634;Суббота Вечер;6;Вечер
166;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;36634;Суббота Утро;6;Утро
167;offline;Аптеки;Аптеки;3000;36634;Воскресенье Вечер;7;Вечер
168;online;Государственные услуги — нигде более не классифицированные;Госсборы;500;36634;Воскресенье Вечер;7;Вечер
169;offline;Бакалейные магазины, супермаркеты;Супермаркеты;300;36634;Воскресенье Вечер;7;Вечер
170;offline;Бакалейные магазины, супермаркеты;Супермаркеты;500;36634;Воскресенье Вечер;7;Вечер
171;offline;Аптеки;Аптеки;400;46939;Вторник День;2;День
172;online;Лимузины и такси;Транспорт;600;46939;Вторник Ночь;2;Ночь
173;online;Бакалейные магазины, супермаркеты;Супермаркеты;400;46939;Вторник Вечер;2;Вечер
174;offline;Бакалейные магазины, супермаркеты;Супермаркеты;80;46939;Вторник Ночь;2;Ночь
175;offline;Фастфуд;Фаст Фуд;90;46939;Среда Вечер;3;Вечер
176;offline;Фастфуд;Фаст Фуд;1300;46939;Среда Вечер;3;Вечер
177;offline;Пассажирские перевозки — пригородные и местные пригородные рейсы, включая паромы;Транспорт;40;46939;Среда Вечер;3;Вечер
178;offline;Бакалейные магазины, супермаркеты;Супермаркеты;500;46939;Среда День;3;День
179;online;Агентства по аренде автомобилей;Аренда авто;200;46939;Четверг Вечер;4;Вечер
180;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;60;46939;Четверг Вечер;4;Вечер
181;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1200;46939;Четверг День;4;День
182;offline;Магазины с продажей спиртных напитков навынос;Супермаркеты;500;46939;Пятница Вечер;5;Вечер
183;offline;Табачные магазины;Разные товары;100;46939;Пятница Вечер;5;Вечер
184;offline;Пассажирские перевозки — пригородные и местные пригородные рейсы, включая паромы;Транспорт;1000;46939;Пятница Вечер;5;Вечер
185;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1000;46939;Пятница Вечер;5;Вечер
186;offline;Фастфуд;Фаст Фуд;900;46939;Пятница Вечер;5;Вечер
187;offline;Фастфуд;Фаст Фуд;200;46939;Пятница День;5;День
188;offline;Агентства по аренде автомобилей;Аренда авто;100;46939;Суббота Утро;6;Утро
189;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;70;46939;Суббота Вечер;6;Вечер
190;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;70;46939;Суббота Вечер;6;Вечер
191;offline;Фастфуд;Фаст Фуд;100;46939;Суббота День;6;День
192;offline;Фастфуд;Фаст Фуд;300;46939;Суббота День;6;День
193;offline;Фастфуд;Фаст Фуд;1000;46939;Суббота День;6;День
194;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1900;46939;Суббота Вечер;6;Вечер
195;online;Агентства по аренде автомобилей;Аренда авто;600;46939;Воскресенье Утро;7;Утро
196;offline;Бакалейные магазины, супермаркеты;Супермаркеты;600;46939;Воскресенье День;7;День
197;online;Фастфуд;Фаст Фуд;100;46939;Воскресенье Вечер;7;Вечер
198;offline;Фастфуд;Фаст Фуд;2100;46939;Воскресенье Вечер;7;Вечер
199;online;Государственные услуги — нигде более не классифицированные;Госсборы;800;53537;Понедельник Утро;1;Утро
200;offline;Аптеки;Аптеки;40;53537;Понедельник Вечер;1;Вечер
201;offline;Одежда для всей семьи;Одежда/Обувь;5700;53537;Понедельник Вечер;1;Вечер
202;offline;Бакалейные магазины, супермаркеты;Супермаркеты;600;53537;Понедельник Вечер;1;Вечер
203;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1100;53537;Понедельник День;1;День
204;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;53537;Понедельник Утро;1;Утро
205;online;Пассажирские перевозки — пригородные и местные пригородные рейсы, включая паромы;Транспорт;500;53537;Вторник Вечер;2;Вечер
206;offline;Бакалейные магазины, супермаркеты;Супермаркеты;500;53537;Вторник Вечер;2;Вечер
207;offline;Бакалейные магазины, супермаркеты;Супермаркеты;600;53537;Вторник Вечер;2;Вечер
208;offline;Одежда для всей семьи;Одежда/Обувь;3300;53537;Среда День;3;День
209;offline;Заправочные станции (с вспомогательными услугами или без);Топливо;1000;53537;Среда Утро;3;Утро
210;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;100;53537;Среда Утро;3;Утро
211;online;Бакалейные магазины, супермаркеты;Супермаркеты;2600;53537;Среда Утро;3;Утро
212;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1600;53537;Среда Утро;3;Утро
213;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1500;53537;Среда Утро;3;Утро
214;offline;Универмаги;Разные товары;80;53537;Четверг День;4;День
215;offline;Аптеки;Аптеки;2000;53537;Четверг Утро;4;Утро
216;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;53537;Четверг Утро;4;Утро
217;offline;Фастфуд;Фаст Фуд;400;53537;Четверг День;4;День
218;offline;Места общественного питания, рестораны;Рестораны;300;53537;Пятница День;5;День
219;offline;Одежда для всей семьи;Одежда/Обувь;7900;53537;Суббота День;6;День
220;offline;Бакалейные магазины, супермаркеты;Супермаркеты;300;53537;Суббота День;6;День
221;offline;Бакалейные магазины, супермаркеты;Супермаркеты;200;53537;Воскресенье Утро;7;Утро
222;offline;Фастфуд;Фаст Фуд;600;53537;Воскресенье День;7;День
223;offline;Бакалейные магазины, супермаркеты;Супермаркеты;2600;53537;Воскресенье День;7;День
224;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;100;63268;Понедельник Ночь;1;Ночь
225;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;300;63268;Понедельник Ночь;1;Ночь
226;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;300;63268;Понедельник Ночь;1;Ночь
227;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;300;63268;Понедельник Ночь;1;Ночь
228;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;800;63268;Понедельник Ночь;1;Ночь
229;online;Агентства по аренде автомобилей;Аренда авто;900;63268;Вторник Утро;2;Утро
230;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;63268;Вторник День;2;День
231;offline;Бакалейные магазины, супермаркеты;Супермаркеты;300;63268;Четверг Вечер;4;Вечер
232;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1400;63268;Четверг Вечер;4;Вечер
233;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1000;63268;Четверг День;4;День
234;offline;Табачные магазины;Разные товары;80;63268;Пятница Вечер;5;Вечер
235;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;10;63268;Пятница Утро;5;Утро
236;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;200;63268;Пятница Утро;5;Утро
237;offline;Фастфуд;Фаст Фуд;100;63268;Пятница День;5;День
238;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;300;63268;Пятница Утро;5;Утро
239;online;Услуги отдыха — нигде более не классифицированные;Развлечения;100;63268;Суббота Ночь;6;Ночь
240;offline;Бакалейные магазины, супермаркеты;Супермаркеты;500;63268;Суббота Вечер;6;Вечер
241;offline;Бакалейные магазины, супермаркеты;Супермаркеты;300;63268;Суббота Вечер;6;Вечер
242;offline;Бакалейные магазины, супермаркеты;Супермаркеты;200;63268;Суббота День;6;День
243;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;2400;63268;Воскресенье Ночь;7;Ночь
244;offline;Бакалейные магазины, супермаркеты;Супермаркеты;900;63268;Воскресенье Вечер;7;Вечер
245;offline;Аптеки;Аптеки;1000;63268;Воскресенье День;7;День
246;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;63268;Воскресенье День;7;День
247;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1200;63268;Воскресенье День;7;День
248;offline;Фастфуд;Фаст Фуд;100;69484;Понедельник Утро;1;Утро
249;offline;Бакалейные магазины, супермаркеты;Супермаркеты;200;69484;Понедельник Вечер;1;Вечер
250;offline;Фастфуд;Фаст Фуд;100;69484;Понедельник День;1;День
251;offline;Фастфуд;Фаст Фуд;300;69484;Понедельник День;1;День
252;offline;Фастфуд;Фаст Фуд;100;69484;Вторник Утро;2;Утро
253;offline;Фастфуд;Фаст Фуд;200;69484;Вторник День;2;День
254;offline;Бакалейные магазины, супермаркеты;Супермаркеты;90;69484;Вторник Вечер;2;Вечер
255;offline;Фастфуд;Фаст Фуд;100;69484;Вторник Вечер;2;Вечер
256;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;69484;Вторник День;2;День
257;offline;Фастфуд;Фаст Фуд;1200;69484;Вторник Вечер;2;Вечер
258;offline;Фастфуд;Фаст Фуд;100;69484;Вторник Утро;2;Утро
259;offline;Фастфуд;Фаст Фуд;100;69484;Вторник День;2;День
260;offline;Фастфуд;Фаст Фуд;100;69484;Среда Утро;3;Утро
261;offline;Фастфуд;Фаст Фуд;100;69484;Среда День;3;День
262;offline;Фастфуд;Фаст Фуд;100;69484;Среда День;3;День
263;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;69484;Среда Утро;3;Утро
264;offline;Фастфуд;Фаст Фуд;200;69484;Среда Вечер;3;Вечер
265;offline;Фастфуд;Фаст Фуд;100;69484;Четверг День;4;День
266;offline;Фастфуд;Фаст Фуд;100;69484;Четверг Утро;4;Утро
267;offline;Фастфуд;Фаст Фуд;70;69484;Четверг День;4;День
268;offline;Фастфуд;Фаст Фуд;100;69484;Четверг Утро;4;Утро
269;offline;Фастфуд;Фаст Фуд;40;69484;Четверг Вечер;4;Вечер
270;offline;Одежда для всей семьи;Одежда/Обувь;600;69484;Пятница Утро;5;Утро
271;online;Государственные услуги — нигде более не классифицированные;Госсборы;500;69484;Пятница Утро;5;Утро
272;offline;Фастфуд;Фаст Фуд;100;69484;Пятница Утро;5;Утро
273;offline;Фастфуд;Фаст Фуд;200;69484;Пятница День;5;День
274;offline;Фастфуд;Фаст Фуд;70;69484;Пятница Утро;5;Утро
275;offline;Фастфуд;Фаст Фуд;200;69484;Пятница День;5;День
276;offline;Фастфуд;Фаст Фуд;100;69484;Пятница Утро;5;Утро
277;offline;Фастфуд;Фаст Фуд;100;69484;Пятница День;5;День
278;offline;Фастфуд;Фаст Фуд;2300;69484;Суббота Вечер;6;Вечер
279;offline;Фастфуд;Фаст Фуд;100;69484;Суббота Вечер;6;Вечер
280;offline;Одежда для всей семьи;Одежда/Обувь;900;69484;Воскресенье Вечер;7;Вечер
281;offline;Фастфуд;Фаст Фуд;1400;69484;Воскресенье День;7;День
282;offline;Фастфуд;Фаст Фуд;1400;69484;Воскресенье Вечер;7;Вечер
283;offline;Фастфуд;Фаст Фуд;30;69484;Воскресенье Вечер;7;Вечер
284;offline;Фастфуд;Фаст Фуд;200;76086;Вторник День;2;День
285;online;Лимузины и такси;Транспорт;1000;76086;Вторник Вечер;2;Вечер
286;online;Лимузины и такси;Транспорт;1200;76086;Среда Вечер;3;Вечер
287;offline;Фастфуд;Фаст Фуд;200;76086;Среда День;3;День
288;online;Лимузины и такси;Транспорт;2400;76086;Среда Ночь;3;Ночь
289;online;Бакалейные магазины, супермаркеты;Супермаркеты;1300;76086;Среда Ночь;3;Ночь
290;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;1600;76086;Четверг День;4;День
291;online;Лимузины и такси;Транспорт;100;76086;Четверг День;4;День
292;online;Лимузины и такси;Транспорт;100;76086;Четверг День;4;День
293;online;Лимузины и такси;Транспорт;100;76086;Четверг Ночь;4;Ночь
294;offline;Фастфуд;Фаст Фуд;600;76086;Четверг Утро;4;Утро
295;online;Лимузины и такси;Транспорт;100;76086;Пятница Ночь;5;Ночь
296;online;Лимузины и такси;Транспорт;200;76086;Пятница День;5;День
297;offline;Заправочные станции (с вспомогательными услугами или без);Топливо;3500;76086;Суббота День;6;День
298;offline;Пассажирские перевозки — пригородные и местные пригородные рейсы, включая паромы;Транспорт;100;76086;Суббота Утро;6;Утро
299;online;Фастфуд;Фаст Фуд;3000;76086;Суббота Вечер;6;Вечер
300;offline;Магазины с продажей спиртных напитков навынос;Супермаркеты;5900;76086;Суббота Вечер;6;Вечер
301;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;76086;Суббота Вечер;6;Вечер
